Code,Name,County,PreK Region,Total Served by All Programs (unduplicated) 3s & 4s,Total Full Day Seats (unduplicated) 3s & 4s,Total Half Day Seats (unduplicated)  3s & 4s,Total UPK              (Half and Full Day),Half-Day UPK 3-Yr.-Olds,Half-Day UPK 4-Yr.-Olds,Total Half-Day UPK,Full-Day UPK 3-Yr.-Olds,Full-Day UPK 4-Yr.-Olds,Total Full-Day UPK,Total Conversions (other grants),Full-Day UPK 4-Yr.-Olds,Total Full-Day UPK,New Full-Day Seats,Conversion Seats,Total Seats Served by SUFDPK,New Full-Day Seats,Total Seats Served by Federal SUFDPK,New Full-Day Seats,Conversion Seats,Total Seats Served by SUFDPK,Total TPK              (Half and Full Day),Half-Day TPK 3-Yr.-Olds,Half-Day TPK 4-Yr.-Olds,Total Half-Day TPK,Full-Day TPK 3-Yr.-Olds,Full-Day TPK 4-Yr.-Olds,Total Full-Day TPK,Students Served in Half Day Slots,Students Served in Full Day Slots,2021-22 PROXY FOR UNSERVED FOUR-YEAR-OLDS,Percentage Served         2021-22
043200,SALAMANCA     ,CATTARAUGUS,Western New York,73 ,56 ,17 ,54 ,0 ,17 ,17 ,0 ,37 ,37 ,0 ,0 ,0 ,19 ,0 ,19 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17 ,56 ,67,100%
043501,YORKSHRE-PIONE,CATTARAUGUS,Western New York,110 ,110 ,0 ,110 ,0 ,0 ,0 ,0 ,110 ,110 ,94 ,0 ,0 ,0 ,94 ,94 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,110 ,113,97%
050100,AUBURN        ,CAYUGA,Central New York,612 ,595 ,17 ,449 ,17 ,0 ,17 ,150 ,282 ,432 ,1 ,0 ,0 ,163 ,1 ,164 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,445 ,274,100%
050301,WEEDSPORT     ,CAYUGA,Central New York,37 ,0 ,37 ,37 ,0 ,37 ,37 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37 ,0 ,44,84%
050401,CATO MERIDIAN ,CAYUGA,Central New York,50 ,50 ,0 ,50 ,0 ,0 ,0 ,0 ,50 ,50 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,50 ,42,100%
050701,SOUTHERN CAYUG,CAYUGA,Central New York,31 ,31 ,0 ,16 ,0 ,0 ,0 ,0 ,16 ,16 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,15 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31 ,33,94%
051101,PORT BYRON    ,CAYUGA,Central New York,58 ,58 ,0 ,58 ,0 ,0 ,0 ,0 ,58 ,58 ,57 ,0 ,0 ,0 ,57 ,57 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,58 ,55,100%
051301,MORAVIA       ,CAYUGA,Central New York,35 ,35 ,0 ,35 ,0 ,0 ,0 ,0 ,35 ,35 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,35 ,45,78%
051901,UNION SPRINGS ,CAYUGA,Central New York,43 ,43 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,42 ,0 ,42 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,43 ,46,93%
060201,SOUTHWESTERN  ,CHAUTAUQUA,Western New York,61 ,0 ,61 ,61 ,0 ,61 ,61 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,61 ,0 ,75,81%
